workload	location	operator	alfa	nodeType	precision	station	class	measureType	orig_analyzedSamples	orig_discardedSamples	orig_lowerLimit	orig_maxSamples	orig_meanValue	orig_successful	orig_upperLimit	mut_analyzedSamples	mut_discardedSamples	mut_lowerLimit	mut_maxSamples	mut_meanValue	mut_successful	mut_upperLimit	timeoutMut	significant_difference
workload1	Web Server 1	ChangeNumberServers	0.01		0.03			System Response Time	51200.0	50	1.0747085472655935	500000	1.0936924909748704	true	1.1126764346841473	46080.0	355	1.0995195128288064	500000	1.1232717695422068	true	1.147024026255607	false	false
workload1	Web Server 1	ChangeNumberServers	0.01		0.03		Class0	System Response Time	35840.0	0	0.9737581775896086	500000	0.9963352228782187	true	1.0189122681668288	35840.0	0	1.013514848358229	500000	1.034414575663869	true	1.055314302969509	false	false
workload1	Web Server 1	ChangeNumberServers	0.01		0.03		Class1	System Response Time	35840.0	0	1.2460506626226453	500000	1.2696879440293003	true	1.2933252254359553	51200.0	0	1.259879743221574	500000	1.2821502719820483	true	1.3044208007425226	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Web Server 1		Utilization	35840.0	495	0.1121437480614101	500000	0.115319152272802	true	0.1184945564841939	51200.0	355	0.22206200707769513	500000	0.2271195414220866	true	0.23217707576647806	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Web Server 1	Class0	Utilization	51200.0	360	0.08695428556350836	500000	0.08922572296172761	true	0.09149716035994686	40960.0	5	0.17513778678195746	500000	0.1797238031376005	true	0.18430981949324354	false	true
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Web Server 1	Class1	Utilization	40960.0	110	0.024606148893470164	500000	0.025207262394754116	true	0.025808375896038068	40960.0	0	0.04728959867970347	500000	0.04871020632484915	true	0.050130813969994824	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Web Server 2		Utilization	30720.0	5	0.11293018662723434	500000	0.11628083535795086	true	0.11963148408866739	51200.0	340	0.11510776062064265	500000	0.11805181520528722	true	0.12099586978993179	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Web Server 2	Class0	Utilization	40960.0	175	0.08906731695149274	500000	0.09135092001376767	true	0.0936345230760426	35840.0	20	0.0890401764969491	500000	0.09168556320142654	true	0.09433094990590397	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Web Server 2	Class1	Utilization	122880.0	935	0.024254816715225037	500000	0.024789269751459283	true	0.02532372278769353	61440.0	70	0.025057898993152493	500000	0.025741828449748923	true	0.026425757906345354	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 1		Utilization	81920.0	295	0.07224460891373688	500000	0.07376138443243473	true	0.07527815995113257	51200.0	380	0.07372540523307126	500000	0.07539680503015794	true	0.07706820482724462	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 1	Class0	Utilization	0.0	0	0.0	500000	0.0	true	0.0	0.0	0	0.0	500000	0.0	true	0.0	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 1	Class1	Utilization	81920.0	295	0.07224460891373688	500000	0.07376138443243473	true	0.07527815995113257	51200.0	380	0.07372540523307126	500000	0.07539680503015794	true	0.07706820482724462	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 2		Utilization	71680.0	510	0.07293451643008984	500000	0.07479513575455801	true	0.07665575507902618	40960.0	15	0.07363427053313364	500000	0.0756326511219837	true	0.07763103171083376	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 2	Class0	Utilization	0.0	0	0.0	500000	0.0	true	0.0	0.0	0	0.0	500000	0.0	true	0.0	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 2	Class1	Utilization	71680.0	510	0.07293451643008984	500000	0.07479513575455801	true	0.07665575507902618	40960.0	15	0.07363427053313364	500000	0.0756326511219837	true	0.07763103171083376	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 3		Utilization	112640.0	1705	0.07292424221262407	500000	0.07435466300576359	true	0.0757850837989031	61440.0	450	0.07461855761673658	500000	0.0759005194452224	true	0.07718248127370822	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 3	Class0	Utilization	0.0	0	0.0	500000	0.0	true	0.0	0.0	0	0.0	500000	0.0	true	0.0	false	false
workload1	Web Server 1	ChangeNumberServers	0.01	station	0.03	Disk 3	Class1	Utilization	112640.0	1705	0.07292424221262407	500000	0.07435466300576359	true	0.0757850837989031	61440.0	450	0.07461855761673658	500000	0.0759005194452224	true	0.07718248127370822	false	false
workload1	Web Server 1	ChangeNumberServers	0.01		0.03			System Drop Rate	0.0	0	0.0	500000	0.0	true	0.0	0.0	0	0.0	500000	0.0	true	0.0	false	false
workload1	Web Server 1	ChangeNumberServers	0.01		0.03		Class0	System Drop Rate	0.0	0	0.0	500000	0.0	true	0.0	0.0	0	0.0	500000	0.0	true	0.0	false	false
